"Species"	"sp_rate"
"123"	"Eugenes_fulgens"	0.184984483357434
"124"	"Panterpe_insignis"	0.185534879943739
"125"	"Heliomaster_constantii"	0.186249919427391
"126"	"Heliomaster_longirostris"	0.186231562472108
"127"	"Heliomaster_squamosus"	0.185117773905837
"128"	"Heliomaster_furcifer"	0.18537767441824
"129"	"Lampornis_hemileucus"	0.185878827531907
"130"	"Lampornis_clemenciae"	0.185363935184985
"131"	"Lampornis_amethystinus"	0.185233358294269
"132"	"Lampornis_viridipallens"	0.186450127708592
"133"	"Lampornis_cinereicauda"	0.220627914678341
"134"	"Lampornis_calolaemus"	0.221085720531218
"135"	"Lampornis_castaneoventris"	0.221085720531218
"136"	"Tilmatura_dupontii"	0.301091534688693
"137"	"Calliphlox_amethystina"	0.300595007584743
"138"	"Myrmia_micrura"	0.301826787630231
"139"	"Myrtis_fanny"	0.301880412283927
"140"	"Rhodopis_vesper"	0.302117112052575
"141"	"Calliphlox_bryantae"	0.302144697245367
"142"	"Calliphlox_mitchellii"	0.302058915852188
"143"	"Chaetocercus_bombus"	0.303121521186371
"144"	"Chaetocercus_mulsant"	0.302203938335836
"145"	"Microstilbon_burmeisteri"	0.302085666836053
"146"	"Calothorax_lucifer"	0.301279785399451
"147"	"Doricha_eliza"	0.30119685826864
"148"	"Archilochus_colubris"	0.301195539668236
"149"	"Archilochus_alexandri"	0.301452769073142
"150"	"Calypte_anna"	0.303420174678031
"151"	"Calypte_costae"	0.303575640984717
"152"	"Selasphorus_platycercus"	0.303955434322085
"153"	"Selasphorus_rufus"	0.303929344236604
"154"	"Selasphorus_calliope"	0.3042570200606
"155"	"Selasphorus_sasin"	0.3042570200606
"156"	"Atthis_heloisa"	0.304454622969712
"157"	"Selasphorus_scintilla"	0.305091858387408
"158"	"Selasphorus_flammula"	0.305091858387408
"159"	"Hylocharis_leucotis"	0.187818923462258
"160"	"Hylocharis_xantusii"	0.187970981266333
"161"	"Campylopterus_rufus"	0.18928043450336
"162"	"Abeillia_abeillei"	0.188002864725646
"163"	"Klais_guimeti"	0.187169902779088
"164"	"Stephanoxis_lalandi"	0.187312455391454
"165"	"Campylopterus_largipennis"	0.188541395968661
"166"	"Campylopterus_hemileucurus"	0.187388250367847
"167"	"Campylopterus_villaviscencio"	0.188235404672572
"168"	"Campylopterus_falcatus"	0.187508167140955
"169"	"Campylopterus_ensipennis"	0.187382066448602
"170"	"Cynanthus_sordidus"	0.18800718142127
"171"	"Chlorostilbon_ricordii"	0.187556839297962
"172"	"Cyanophaia_bicolor"	0.187287856591922
"173"	"Cynanthus_latirostris"	0.187458398105007
"174"	"Cynanthus_doubledayi"	0.187169399842461
"175"	"Chlorostilbon_canivetii"	0.18750614020217
"176"	"Chlorostilbon_poortmani"	0.187283122465606
"177"	"Chlorostilbon_melanorhynchus"	0.187947748691126
"178"	"Chlorostilbon_assimilis"	0.187965095273836
"179"	"Chlorostilbon_mellisugus"	0.18750986292422
"180"	"Chlorostilbon_lucidus"	0.187846090564673
"181"	"Chalybura_buffonii"	0.223034475026716
"182"	"Chalybura_urochrysia"	0.222197150155088
"183"	"Thalurania_glaucopis"	0.222457956827073
"184"	"Thalurania_furcata"	0.222839091535415
"185"	"Thalurania_colombica"	0.223221421420426
"186"	"Thalurania_fannyi"	0.223221421420426
"187"	"Microchera_albocoronata"	0.224320795940179
"188"	"Elvira_cupreiceps"	0.224317079646366
"189"	"Elvira_chionura"	0.22418295707469
"190"	"Goldmania_violiceps"	0.22559921992686
"191"	"Thalurania_ridgwayi"	0.22363231776652
"192"	"Eupherusa_nigriventris"	0.224234679476453
"193"	"Eupherusa_eximia"	0.223726567202684
"194"	"Eupherusa_cyanophrys"	0.223629798254249
"195"	"Eupherusa_poliocerca"	0.223629798254249
"196"	"Phaeochroa_cuvierii"	0.220885749630378
"197"	"Leucippus_fallax"	0.21988973787999
"198"	"Taphrospilus_hypostictus"	0.223088754495111
"199"	"Aphantochroa_cirrochloris"	0.224296708212938
"200"	"Eupetomena_macroura"	0.222555510511309
"201"	"Leucippus_chlorocercus"	0.233015901574731
"202"	"Amazilia_viridifrons"	0.243840030143088
"203"	"Amazilia_violiceps"	0.243840030143088
"204"	"Amazilia_cyanocephala"	0.282868699699509
"205"	"Amazilia_saucerottei"	0.283161786837621
"206"	"Amazilia_cyanura"	0.283222107255525
"207"	"Amazilia_beryllina"	0.283222107255525
"208"	"Amazilia_edward"	0.283382937755732
"209"	"Amazilia_castaneiventris"	0.284133039607717
"210"	"Amazilia_tobaci"	0.284133039607717
"211"	"Amazilia_viridigaster"	0.284133039607717
"212"	"Amazilia_rutila"	0.234465674601971
"213"	"Amazilia_yucatanensis"	0.234264806779079
