"Species"	"m_crown_hue"	"m_crown_bri"	"m_crown_sat"	"m_crown_iris"	"m_gorget_hue"	"m_gorget_bri"	"m_gorget_sat"	"m_gorget_iris"	"m_belly_hue"	"m_belly_bri"	"m_belly_sat"	"m_belly_iris"	"m_mantle_hue"	"m_mantle_bri"	"m_mantle_sat"	"m_mantle_iris"	"m_rump_hue"	"m_rump_bri"	"m_rump_sat"	"m_rump_iris"	"m_span"	"f_crown_hue"	"f_crown_bri"	"f_crown_sat"	"f_crown_iris"	"f_gorget_hue"	"f_gorget_bri"	"f_gorget_sat"	"f_gorget_iris"	"f_belly_hue"	"f_belly_bri"	"f_belly_sat"	"f_belly_iris"	"f_mantle_hue"	"f_mantle_bri"	"f_mantle_sat"	"f_mantle_iris"	"f_rump_hue"	"f_rump_bri"	"f_rump_sat"	"f_rump_iris"	"f_span"
"1"	"Florisuga_mellivora"	0.145756959720994	0.0401767420298153	0.109048813041913	0.0277548255991341	0.240708207994944	0.0890876532048923	0.139239030219266	0.0857112496215105	0.936641656251371	1.35977947841796	0.150650669607048	1.32756949782054	1.48042691611637	1.30294840210947	0.273452701484686	0.282744263754178	0.110691523864099	0.215126136526787	0.258567594522944	0.0769123729071509	0.17599894511491	1.33024092001906	0.0713448362338284	0.185145924219999	0.0343651812557128	0.342226924270295	0.225142495827172	0.112604112685823	0.0535315284710925	0.365613270728909	1.49163686573375	0.164219307116615	0.568822462987865	1.45253076472939	0.39951889530694	0.247084774543113	0.253698241446203	1.30586721810673	0.175366581527759	0.195806076378081	0.0705965338687657	0.194778843011928
"2"	"Florisuga_fusca"	0.158056707686848	0.0413394029767347	0.116495591851178	0.0214258869796502	0.230522157992024	0.0880068614283923	0.153463974353465	0.0873000631484013	1.55235660981772	1.11278728892032	0.149515516785461	0.877164124462125	2.99048401018986	1.30241254508633	0.324391387785354	0.284308643683139	0.173661197584257	0.265373918471157	0.323857424952638	0.0897646513286682	0.198442092454973	2.23115203270994	0.0776685772238832	0.185812140264441	0.0280470282931596	0.453994297163551	0.339525947561214	0.120666698042709	0.0623513355852329	0.525633752143167	1.38359117603857	0.160096788619554	0.52165898684488	2.36079136671798	0.421959640098317	0.31580571426366	0.24821249502455	1.96339564644216	0.18637582662075	0.222519391309297	0.0660387302402435	0.24960834669416
"3"	"Topaza_pella"	0.159890781493982	0.0242154054622438	0.117249420519904	0.00817721957691922	0.163166913507146	0.116650882568675	0.125246009713987	0.482451839220837	0.149617310582599	0.0871020849360677	0.168144319672859	0.0973076138191909	0.254372695362382	3.08382645778684	0.430707990761545	3.51862807561114	0.0663534507678513	0.128851128069991	0.2128194790138	0.0553379057450021	0.112776421092632	0.138718150398833	0.0508559182714171	0.185453654001435	0.0143899784362895	0.193256558105026	0.893581287305894	0.458404869819696	0.887656374351637	0.190181826579049	0.163379086158585	0.174987263353406	0.0944873571792108	0.0865067257955403	0.243251508128877	0.148870608495297	0.224713824498965	0.0910822493108288	0.101646510022238	0.15671127193051	0.0809765454781396	0.151620142318224
"4"	"Topaza_pyra"	0.158326667476843	0.0289432802726424	0.117500359423913	0.00884075047330121	0.160331589151137	0.114693747253173	0.12534518255152	0.477583330430759	0.14285471288027	0.0874381117324304	0.167793489193364	0.0787154730726177	0.259574085319857	3.36537731558568	0.48313233988748	4.25192656394278	0.0667372976463584	0.130312831018901	0.210443702355706	0.0602580661111956	0.11097413873151	0.138919278123916	0.0528211925899254	0.181953808497585	0.0131519468772241	0.192680699027488	0.970232657667065	0.519586635239065	0.894521703813071	0.192510427029849	0.15255156159394	0.170711640662287	0.0973130173961273	0.0837701529972178	0.242737566412943	0.149992874649894	0.225602973562947	0.0928083474457543	0.105594589889904	0.15771615225456	0.0755092915978231	0.162102126726306
"5"	"Eutoxeres_aquila"	0.153977378979395	0.0447887470366611	0.109802970070745	0.0252430388284131	0.02043313114246	0.0676355565653132	0.146996377984499	0.0135075249926093	0.372561679239881	0.0626018239535616	0.168134962441394	0.084046461178966	0.485368051278983	0.179197537451982	0.129144650016747	0.122648611234307	0.187983778982826	0.127548088947169	0.207194611801776	0.0513355711965462	0.061008163362138	0.192526589387182	0.0722978203722741	0.196349384232527	0.0310563311031701	0.793830607610311	0.0731540398464614	0.11090736757579	0.0362734038719763	0.0646392622946144	0.111027785531766	0.167922341511965	0.1045308082745	0.18347367868232	0.270227762762615	0.186691521207665	0.24589211259991	0.108184208323793	0.130015369103291	0.167243903126596	0.0649138422919297	0.107618575393593
"6"	"Eutoxeres_condamini"	0.160109739877662	0.0597141408964487	0.116459784505934	0.0256090659590113	0.0138463120041803	0.069604140734433	0.152989425390346	0.0167630997060409	0.136477460354675	0.0734770293930878	0.164022218772974	0.0688193224057752	0.166400274710018	0.189995055720265	0.125155904253887	0.129499406848795	0.125751176602201	0.125774029865462	0.205295841753736	0.065226448676734	0.056271732246548	0.164222548562111	0.083797076549492	0.201616616436305	0.030920473725184	2.28024360597708e-10	0.0732771003056601	0.121874341731969	0.0380789191794822	0.0754338446288092	0.0988710703434676	0.170440163285846	0.109455666870021	0.158022923803426	0.261697152538682	0.176103791927843	0.27940180506686	0.114147150264602	0.138437816887768	0.176844867167682	0.0638311390391039	0.0995551354326918
"7"	"Ramphodon_naevius"	0.157329167120342	0.052863786626225	0.113691695503594	0.0289419053187285	0.00348802988611982	0.0665842452190036	0.144984364317264	0.0137818441855428	0.0145678331587273	0.0649602871762957	0.161638908690291	0.0812546073072838	0.242654051372428	0.183832200537735	0.0904855505436556	0.133334205155042	0.427548483085262	0.14063543952833	0.195759564936772	0.0575617982296548	0.0396202422273884	0.176244137382389	0.0756798242361167	0.196900203929617	0.0209686276000201	2.28024360597708e-10	0.080892762987396	0.115798892866312	0.0409653951306767	0.0536105592927873	0.146504911155942	0.16581080505562	0.11040118363712	0.501832776894862	0.257649143140239	0.168186457534984	0.254290210697977	0.320497426021927	0.132371446142321	0.175826803844453	0.0838007144644386	0.0959931159350183
"8"	"Threnetes_ruckeri"	0.123688668872462	0.0290865365219606	0.0954712541221704	0.0112586147952443	0.00167592475185207	0.0567265427089994	0.1137434636981	0.00731044751437495	0.0129297581089232	0.0492139086525134	0.141626022949864	0.0485556619316174	0.0961732245606223	0.146433566797142	0.0552554898471808	0.102055256199059	0.141199768284112	0.098973202616005	0.171356570363171	0.0521320153477071	0.0231341705491286	0.133379820734645	0.0517497468535197	0.180249733985792	0.3083330205842	2.28024360597708e-10	0.0543608476502206	0.0996983392792544	0.0244051054832319	0.0329244434087182	0.0827707098722735	0.151538936999525	0.0843225416743785	0.483856876386273	0.244144635373481	0.147296316713777	0.2253621669354	0.198217946712898	0.0970589753284951	0.154416672080473	0.17041057082459	0.0747863983914127
"9"	"Threnetes_leucurus"	0.132019631777647	0.0263460130111357	0.0995487451548874	0.0140095083242396	0.000285637905714994	0.0537988665475004	0.110964854926544	0.010420866792534	1.31100310824248	0.0503887607432658	0.144570336781378	0.0497470019747093	0.0942071656824351	0.154574344238008	0.0526850245543266	0.0924714268238299	0.114620848079074	0.100739236263885	0.175432438935686	0.044910089742631	0.0292663117382981	0.13829673162575	0.0493721393301722	0.183007671701482	0.046550335556708	0.757198881761386	0.0574982474089457	0.0954134683614996	0.0265332646756452	0.0364631728171286	0.0848500162135588	0.152978366750254	0.0841764548470915	0.482200504641818	0.236459888906821	0.146399223560319	0.223495365951099	0.19126945912171	0.100204765334459	0.149811402438854	0.0750014596374448	0.0740027216197558
"10"	"Glaucis_hirsutus"	0.125782317968929	0.0214285503722639	0.0925180955798874	0.0140102298856843	1.15822585841837	0.0524586851533238	0.115029610956612	0.00648614002553795	0.00176275878713981	0.0487503099114633	0.139984690922951	0.0430711263515239	0.138492430196714	0.152115171337587	0.0603566035903467	0.114854018684109	0.111770485224206	0.096169673968264	0.175071051296388	0.0755496885911214	0.0252387960062464	0.136639943240482	0.0534907777451933	0.192540552331503	0.0122834889054266	0.82928045742096	0.0505931301561055	0.103270932946592	0.0241497321056065	0.104437327023947	0.157840121678307	0.154120163360787	0.101006435301384	0.602049488248308	0.238465790166551	0.15107707630151	0.244360040232904	0.206641341469617	0.0950079303684458	0.149769369680987	0.0522922656241027	0.0828576087753016
