"Species"	"crown_Hue_m"	"crown_Bri_m"	"crown_Sat_m"	"gorget_Hue_m"	"gorget_Bri_m"	"gorget_Sat_m"	"belly_Hue_m"	"belly_Bri_m"	"belly_Sat_m"	"mantle_Hue_m"	"mantle_Bri_m"	"mantle_Sat_m"	"rump_Hue_m"	"rump_Bri_m"	"rump_Sat_m"	"crown_Slope_m"	"gorget_Slope_m"	"belly_Slope_m"	"mantle_Slope_m"	"rump_Slope_m"	"mean_span_m"
"1"	"Coeligena_bonapartei"	-0.0597700349837239	1.24977980539595	1.85799903946727	-0.044998458506353	-0.453472087939457	-0.788899136267099	-0.269322402318281	0.223978831890978	4.31795474359531	1.77475069750606	1.40947500663258	4.37011974426251	1.43934440076378	0.633560147426963	6.22429266029283	-1.43988739536459	0.313440842936906	3.06265816107356	0.409903333855377	1.41397924073718	2.48101790155134
"2"	"Coeligena_coeligena"	0.125621420928378	-0.0488823977464808	0.000903023939498716	0.277318519067727	-0.110055969594515	-0.159046524792138	0.100246335191711	-0.0381995049381937	-0.000237719151170908	0.1747793902798	0.0521917897315581	0.204058630818889	0.155890746177401	-0.0120845326720109	0.140426113736252	0.0401633603406006	0.0944061442246925	0.0197229341172228	-0.0922913761888458	-0.000581625321978669	-0.105672455633758
"3"	"Coeligena_helianthea"	0.0514091584426446	-1.48976740429178	-2.00404589867348	-0.00550919905374202	0.388868363425584	0.69588139659466	0.482240959846816	-0.126850576613954	-4.26157801899596	-0.947954503679389	-1.30232906459261	-4.14266764718882	-1.47428603682767	0.352889527581337	-5.86629293300024	1.57168631733165	-0.163339524900507	-3.04820571534561	-0.407728274103934	-2.22361621442736	-2.40121227992124
"4"	"Coeligena_inca"	0.740320281513703	-0.431935182349356	-0.778271746369793	0.208764291788788	-0.156035381490681	0.172766158684719	-0.0603396001909006	0.660325035357174	0.65688450524037	0.194926857371248	0.0192211053593769	0.770518179267767	0.108275874057062	0.0139946344677857	0.465492944089471	0.382614224054267	0.136901688436314	-0.615572180619819	0.0982981828691422	-0.0480891295400962	0.0355728641317723
"5"	"Coeligena_iris"	0.135491327021614	0.235800566943685	0.0885139984316815	0.219693831163126	-0.136482991253545	-0.188994214276743	0.348695923663687	-0.265557060587247	-0.273854465563638	0.53687892813406	0.0594666036876037	0.109400832482532	0.430366712088611	-0.176448941481354	-0.245468615098536	-0.265610970975749	0.016175710194366	0.234235824036185	0.0372608774939517	0.160824419731722	-0.232076901058232
"6"	"Coeligena_lutetiae"	0.235510395104154	0.0338287083521367	-0.028604420176573	-0.161035589761645	0.0659573914630868	-0.0946672713362687	-0.260360518775062	-2.3280714055694	-1.78758086555023	4.22118421364227	0.730982194281257	-0.634258347653218	0.961471566465543	-2.03653275665864	-3.67955700947427	0.353131512934044	0.703123818876166	2.61844834061541	-0.0120053707124244	2.03762013176622	-0.665241192632369
"7"	"Coeligena_phalerata"	-0.24002717543744	0.145116697254193	-0.0470126647377023	-0.167258928278696	-0.0223857989731076	-0.142048177468665	-0.153954838680422	-0.313393682892874	-0.247582404587254	0.535468670199165	0.0826670840547629	-0.0595048539952707	-0.375246206945542	-0.178038921189145	-0.126764976905024	0.134334071833233	0.11582220787309	0.295195749074059	-0.16202435649267	0.108922845123528	-0.265067647292895
"8"	"Coeligena_prunellei"	-0.0759229913594736	-0.0733085620982608	-0.104210378396887	-0.0765970688127512	-0.0648613313061691	-0.031583343310096	-0.0885698664517102	-0.117847298607282	-0.120979036400338	-0.399659349483337	-0.181264812748074	-0.188990906732746	-0.280031966299664	-0.0709434775407042	-0.151259141982644	0.043355091648363	0.0136238242235412	0.0571400334897445	0.078722569716242	0.031227647401751	-0.0386017030157986
"9"	"Coeligena_torquata"	-0.673458806009934	0.302873919479513	0.655692573749645	-0.025086765629203	0.044730614164546	-0.295504941441418	0.000957582264565997	-0.62339527183955	-0.581133120569463	-0.286974159660904	-0.0540722911747073	-0.611560208099249	-0.199757914357062	-0.0787663556228107	-0.396791783752987	-0.294719308819316	-0.0330446354580405	0.566634213455966	-0.0667486898457944	0.0961210386975102	-0.0917154385500665
"10"	"Coeligena_violifer"	0.0307029629223913	-0.172528907367167	-0.212936733550074	-0.150450188116082	0.147623091955691	-0.0174533473344084	0.160298070889385	-0.0646287170681957	-0.124305206617662	0.171680888163772	0.149252378566743	0.147441771539748	0.0889483984795675	-0.0035840233553677	0.0808310977717784	0.105029617994547	-0.107505675230032	0.0786177367498535	-0.0471453076053439	0.0304087092261547	-0.0426176760846103
"11"	"Coeligena_wilsoni"	0.152325637432233	-0.0135308789577466	-0.164256941686501	-0.109045498678166	0.0860739401876837	0.0169163051961726	0.114240728433379	0.0848103672378871	-0.0885322126308631	0.324351446460008	0.118052322860221	-0.219747409500865	0.215123306856657	0.0378106039992721	-0.189230574512633	0.0237113515158424	-0.0225418367244817	-0.0215825042088669	0.015324443869799	-0.00553238599213089	-0.0552121521153916
"12"	"Coeligena_orina"	-0.214617806886828	0.663909504344935	0.526248002544704	0.253934501883391	0.178983902097218	0.483029988617287	-0.369171962996663	2.20327704586617	1.74949644021581	-6.80014341856222	-1.07146751314267	-0.10515560732202	-0.831093619473222	-0.651909775444137	2.71489083068363	-0.778733237717967	-1.18922501554863	-2.79323173540377	0.0390758456594399	0.178331319660644	0.604663164607556
