"Species"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"	"X51"	"X52"	"X53"	"X54"	"X55"	"X56"	"X57"	"X58"	"X59"	"X60"	"X61"	"X62"	"X63"	"X64"	"X65"	"X66"	"X67"	"X68"	"X69"	"X70"	"X71"	"X72"	"X73"	"X74"	"X75"	"X76"	"X77"	"X78"	"X79"	"X80"	"X81"	"X82"	"X83"	"X84"	"X85"	"X86"	"X87"	"X88"	"X89"	"X90"	"X91"	"X92"	"X93"	"X94"	"X95"	"X96"	"X97"	"X98"	"X99"	"X100"	"X101"
"1"	"Abeillia_abeillei"	-1.85247960489279	-2.05148830843146	-1.96627274658188	-2.01373540875257	-2.01314361967647	-1.89821497724648	-2.06425511180661	-2.03860671652139	-1.98887761533391	-1.97680528286689	-1.87232098171866	-1.90837221164682	-2.01231739159503	-2.0251848258669	-1.94115973754475	-1.9728149965252	-1.91355978777821	-2.04242291481296	-2.0089356710097	-1.96820454362084	-1.96587171095062	-1.93800607466097	-1.93161999291842	-2.00063004189958	-1.93574146123313	-1.98347265613649	-1.9965399419376	-1.91746315331171	-1.99155232117268	-1.98714472510322	-1.91220997501766	-2.04721679127093	-2.01511649136812	-1.96593309280796	-1.97418761157667	-1.91802338619097	-1.96498524612172	-2.07100804174131	-1.97412371096153	-2.11240957621762	-1.92377585648838	-1.91539660168206	-1.92974679306451	-1.92379211814224	-2.10768111400254	-1.99156306980876	-1.94805536325442	-1.85893584799173	-2.00383213726239	-1.96496128123912	-1.90749666788081	-1.8647311902824	-1.98028935509276	-1.96905902304369	-1.95690241311128	-1.99156306980876	-1.9037696900702	-2.01727840504285	-1.89609441186496	-1.93261103723617	-1.96156152011062	-1.97417356883219	-1.95710436294807	-1.9464733216243	-2.1833740409746	-1.97367130146477	-2.00694237997672	-1.9577791307713	-1.94913006309327	-2.02692643857791	-2.01068265210691	-2.15169845331042	-1.96843528765423	-1.96162832897952	-2.00574784576906	-1.95471552010797	-1.85905095631262	-2.06728241280415	-1.922004489023	-2.06595391786039	-2.00731892954465	-1.89927941943289	-1.9948465522224	-2.03080434917999	-1.95216888944503	-1.94409255814604	-2.07061845846512	-1.94550871858725	-2.01865243157084	-2.05629996304685	-1.95605566495515	-1.91975474612522	-1.85915807288348	-2.03921324624932	-2.02821992587699	-1.92989786841583	-1.94115973754475	-1.99955783408481	-2.01511649136812	-2.01469071703243
"2"	"Adelomyia_melanogenys"	-2.28588560090599	-2.40268572123961	-2.22799552881703	-2.36669750370072	-2.30749353846196	-2.28633177178229	-2.37163303806319	-2.33566609744042	-2.2404541296267	-2.29020299047849	-2.24864144599979	-2.33756556218987	-2.35617087954093	-2.40541371432172	-2.25637065131382	-2.28229982796086	-2.38624964553504	-2.24254722056091	-2.32766917396195	-2.23886567663971	-2.32575317318193	-2.24030837205286	-2.33116025263858	-2.30947215370274	-2.45984241486061	-2.34172545704683	-2.34245313828128	-2.32313684475693	-2.27200695051981	-2.3009352152172	-2.28802450188141	-2.32955003042682	-2.2856068897244	-2.30848385906382	-2.27142236783962	-2.25705600190553	-2.32535693838794	-2.36409202882653	-2.32214171692236	-2.29495494059511	-2.32917049051632	-2.28633177178229	-2.34537160164842	-2.19999051463076	-2.48297242278464	-2.2963656555806	-2.31844672865008	-2.26897661553231	-2.37484127093796	-2.34508357071639	-2.2333433679013	-2.31811155290534	-2.3068125732852	-2.25635898664847	-2.35148897451304	-2.2963656555806	-2.11562954841084	-2.2643890446793	-2.30105611266914	-2.2960243957933	-2.4110014655494	-2.2997262126469	-2.3183106666713	-2.24485714702295	-2.48020148700833	-2.34292525368017	-2.29258543367544	-2.31222861072826	-2.2669726228428	-2.39273284758207	-2.31769597936641	-2.43306534054405	-2.24485714702295	-2.37609110714864	-2.356564380173	-2.34898442744811	-2.22895849299612	-2.29180326911047	-2.32180661146541	-2.32189854924692	-2.29872246170409	-2.32174996735584	-2.31165934766352	-2.26078430334609	-2.26014098907518	-2.31688690841641	-2.38335104894015	-2.3739147990065	-2.39174403279428	-2.33046331046209	-2.37068694198445	-2.31688690841641	-2.23837616393004	-2.28924877145424	-2.34425338304889	-2.2528884710646	-2.25637065131382	-2.38108722675804	-2.2856068897244	-2.32262634243427
"3"	"Aglaeactis_cupripennis"	-2.45581222489709	-2.62404179672717	-2.51076742355853	-2.56126457048571	-2.62626663668295	-2.51657075940923	-2.57108833766936	-2.45707988512671	-2.68600421899278	-2.57430352399398	-2.46635370685703	-2.50876689512621	-2.65550552309687	-2.58926110677578	-2.47699871505504	-2.50312613385427	-2.54516702987721	-2.54730925507082	-2.56679839263852	-2.49123245632015	-2.59345328329156	-2.53981368013996	-2.5627271332823	-2.55612477778564	-2.55225983848569	-2.58360634083971	-2.5246796343051	-2.67414647246726	-2.54689386346686	-2.49765347232919	-2.47794418389506	-2.62084185353674	-2.52508677316004	-2.49897443910732	-2.46438800612745	-2.50033978032955	-2.48289325000307	-2.56947936313671	-2.55291995693036	-2.59124995090153	-2.64014440591869	-2.51657075940923	-2.5099583150553	-2.54795761328937	-2.59716171322784	-2.59302192395492	-2.58360141041749	-2.45998638628979	-2.57560410869795	-2.64241315614111	-2.51078702908853	-2.50585717282915	-2.56067145516572	-2.48852269192426	-2.56193281702218	-2.59302192395492	-2.47909204889818	-2.56205014149062	-2.67642317230258	-2.53955823465985	-2.68516494620504	-2.5474223508516	-2.62340058469369	-2.52526974268126	-2.7726212821142	-2.59179681510184	-2.60745151463269	-2.52576469627488	-2.54304698613135	-2.60782430930209	-2.50447470567561	-2.73251627132323	-2.52526974268126	-2.66757468744441	-2.54620361864664	-2.54446707470459	-2.53545405851784	-2.55412933946108	-2.61451573731455	-2.63756438891471	-2.53135539291997	-2.62088702146319	-2.57406569828424	-2.5892738424049	-2.56661110019909	-2.49863940511189	-2.58880122767523	-2.56054747610045	-2.64332226277456	-2.64245247185685	-2.57832979653994	-2.49863940511189	-2.47992994967374	-2.65070243274303	-2.59699269960695	-2.50122292858904	-2.47699871505504	-2.56396492096313	-2.52508677316004	-2.53871205236858
"4"	"Aglaiocercus_coelestis"	-1.78686208358497	-1.9861892151436	-1.74602692911609	-1.90795779932185	-1.8345747200367	-1.8362427863143	-1.91162664362658	-1.89114115232481	-1.78349601949703	-1.83458161456628	-1.75751342060212	-1.88889542549333	-1.9105583116188	-2.03996236236401	-1.77404263234912	-1.79268419302941	-1.87807561108839	-1.80952107382443	-1.87847702087276	-1.79363012030202	-1.87292758285958	-1.78458586526079	-1.82518875410918	-1.84473142465774	-1.97111101144386	-1.88113869922434	-1.90836107185724	-1.86564072394705	-1.82334781693207	-1.85273343706961	-1.7907567297871	-1.89685887563409	-1.85839937581898	-1.81434347431551	-1.80215208163209	-1.79919814320569	-1.87843841105066	-1.88006287791235	-1.85772684613614	-1.88994473372316	-1.9311244701545	-1.8362427863143	-1.84021921987536	-1.73795158755941	-2.04241152799616	-1.84059958950965	-1.83213168712872	-1.79202131789179	-1.93757903881989	-1.85791813454793	-1.772220234583	-1.83224352267566	-1.85444729299157	-1.79010034910224	-1.90465035757935	-1.84059958950965	-1.69310928628991	-1.80264845992304	-1.80535182831936	-1.82187817274187	-1.90804782544855	-1.91019777220153	-1.86409543640857	-1.78608796589938	-2.05636072423332	-1.89392243243352	-1.82246061146982	-1.83132850502952	-1.7848083883565	-1.94167557118685	-1.85978647840172	-1.92614554004807	-1.78608796589938	-1.91943993158553	-1.85789343816308	-1.8585865166934	-1.81449356324798	-1.76725405711612	-1.87497718939996	-1.87343687725291	-1.84207038236487	-1.88267551470267	-1.84420029797314	-1.75209748628393	-1.82963195526911	-1.85619041399063	-1.87390255234715	-1.88390598622152	-1.89945580178892	-1.87776199112612	-1.93523794714622	-1.85619041399063	-1.77768910617606	-1.81384845200789	-1.85918004589048	-1.77593947580401	-1.77404263234912	-1.90362580293236	-1.85839937581898	-1.8457788084064
"5"	"Aglaiocercus_kingii"	-1.78686208358497	-1.9861892151436	-1.74602692911609	-1.90795779932185	-1.8345747200367	-1.8362427863143	-1.91162664362658	-1.89114115232481	-1.78349601949703	-1.83458161456628	-1.75751342060212	-1.88889542549333	-1.9105583116188	-2.03996236236401	-1.77404263234912	-1.79268419302941	-1.87807561108839	-1.80952107382443	-1.87847702087276	-1.79363012030202	-1.87292758285958	-1.78458586526079	-1.82518875410918	-1.84473142465774	-1.97111101144386	-1.88113869922434	-1.90836107185724	-1.86564072394705	-1.82334781693207	-1.85273343706961	-1.7907567297871	-1.89685887563409	-1.85839937581898	-1.81434347431551	-1.80215208163209	-1.79919814320569	-1.87843841105066	-1.88006287791235	-1.85772684613614	-1.88994473372316	-1.9311244701545	-1.8362427863143	-1.84021921987536	-1.73795158755941	-2.0424115279313	-1.84059958950965	-1.83213168712872	-1.79202131789179	-1.93757903881989	-1.85791813454793	-1.772220234583	-1.83224352267566	-1.85444729299157	-1.79010034910224	-1.90465035757935	-1.84059958950965	-1.69310928628991	-1.80264845992304	-1.80535182831936	-1.82187817274187	-1.90804782544855	-1.91019777220153	-1.86409543640857	-1.78608796589938	-2.05636072423332	-1.89392243243352	-1.82246061146982	-1.83132850502952	-1.7848083883565	-1.94167557118685	-1.85978647840172	-1.92614554004807	-1.78608796589938	-1.91943993158553	-1.85789343816308	-1.8585865166934	-1.81449356324798	-1.76725405711612	-1.87497718939996	-1.87343687725291	-1.84207038236487	-1.88267551470267	-1.84420029797314	-1.75209748628393	-1.82963195526911	-1.85619041399063	-1.87390255234715	-1.88390598622152	-1.89945580178892	-1.87776199112612	-1.93523794714622	-1.85619041399063	-1.77768910617606	-1.81384845200789	-1.85918004589048	-1.77593947580401	-1.77404263234912	-1.90362580293236	-1.85839937581898	-1.8457788084064
"6"	"Amazilia_amabilis"	-0.923834597165305	-1.30337499749991	-0.940575623928818	-0.907446264522057	-0.842459847231615	-0.913649853824536	-1.06677423153568	-0.950635536871601	-1.02286751667518	-0.924775696049906	-0.993456484533183	-0.979293609626519	-1.00670450161896	-0.982875873107717	-1.0003762839338	-1.30176752598829	-1.03283414941847	-0.98419647687974	-0.858237845714889	-0.883073933942951	-1.24040635775754	-0.814797038645221	-1.18679396762347	-1.38825703610416	-1.07255044549789	-1.02108751030075	-0.886580392349223	-0.919216608570564	-0.963062370214026	-0.995741646655983	-0.899956759730838	-0.947964684369533	-0.99859727640924	-1.21678250986264	-1.03369518123172	-1.26700001330386	-0.911098222294788	-1.04098435816054	-1.02734052732838	-0.974757928872305	-0.949535957901643	-0.913649853824536	-0.942734925557976	-0.919415602001297	-1.15048852887293	-1.35530974140862	-1.24996237615249	-1.24916324683242	-0.987893590955324	-0.995717190267968	-1.15943859162851	-0.963639669071564	-0.804763364703829	-0.940591856632518	-0.891255089415931	-1.35530974140862	-0.862247240986575	-0.912573678422749	-1.23941322706397	-0.946308406143972	-1.07740553577515	-0.955162936708371	-0.930446331301303	-0.895670395478989	-1.08032731350914	-1.02570284724434	-1.28379193231726	-0.946144711186184	-1.25774793404471	-0.967067157573829	-0.951243246721849	-1.07869720899557	-0.895670395478989	-0.954984286072734	-0.998155842435367	-1.06938983144701	-1.21476234463615	-0.879989428949762	-1.28915365164385	-0.984867149173316	-0.92170807426998	-0.880276288701176	-0.947398188751067	-1.27248804711347	-0.99184109009096	-0.881194252906866	-1.28212039489282	-1.0326804767904	-0.962948594103994	-0.965023283268257	-1.27391118701313	-0.881194252906866	-0.75526112267569	-1.27244427637885	-0.959094331445089	-0.946863897141842	-1.0003762839338	-1.04692789941595	-0.99859727640924	-0.997861266819312
"7"	"Amazilia_amazilia"	-1.53023094640997	-1.6691885392339	-1.61265899431654	-1.60455619149887	-1.5536060776249	-1.62985971774082	-1.69625534454506	-1.52775856064594	-1.66831268132794	-1.57886678734077	-1.64578565725923	-1.56036407267278	-1.74330692205625	-1.64203915392685	-1.55776009777527	-1.53357128711804	-1.64054741655543	-1.66632200966697	-1.64218548235167	-1.53909110199082	-1.7237242706397	-1.49343306997526	-1.56105198517648	-1.6657597592132	-1.68948816922564	-1.67585187039425	-1.49670320091187	-1.6627731330306	-1.6133164599444	-1.62074522512631	-1.61092960987924	-1.65182618437573	-1.63105003257583	-1.56984964824426	-1.61784172868513	-1.66509861851232	-1.65406182783965	-1.66084108599773	-1.6220402857761	-1.63294496744305	-1.67385253356259	-1.62985971774082	-1.66343203125694	-1.52132193570071	-1.66381047201233	-1.69130803269392	-1.55462006524899	-1.5106626180059	-1.69847222315819	-1.64830769122778	-1.5594703265083	-1.63062874754399	-1.63379476987662	-1.544141282883	-1.60437368047078	-1.69130803269392	-1.47582528439837	-1.64295117919339	-1.57052854990659	-1.58014793887311	-1.60357522658707	-1.61009647706888	-1.60936154037652	-1.57259912029445	-1.74260315400842	-1.68592920713945	-1.66111531473483	-1.59468443011036	-1.54571728517446	-1.68574642824813	-1.68765108098911	-1.76259270431594	-1.57259912029445	-1.62993775466037	-1.58810324866129	-1.66651783863215	-1.61600464341689	-1.57571565190135	-1.73210300177713	-1.57025699583836	-1.63106904949175	-1.65067226782765	-1.49495486287934	-1.62430495872628	-1.65431002091875	-1.54183284407576	-1.67108444786999	-1.60674838328813	-1.69665933959219	-1.61160352545749	-1.60686742091377	-1.54183284407576	-1.58293012027244	-1.68166341312733	-1.64103367303091	-1.56044165933404	-1.55776009777527	-1.77107423702753	-1.63105003257583	-1.6536304637994
"8"	"Amazilia_beryllina"	0.104221550532178	-0.168304120549853	0.0566473555164127	-0.365013226938226	-0.405530741831855	-0.805434459003215	-0.0310034847700917	-0.297535320570306	-0.8232123224583	0.0499676758794511	-0.644819939516629	-0.415347186241294	-0.434094590820073	0.118227811453937	-0.348515139238767	-0.443615530156444	0.0548997843706936	0.0799231483163608	-0.765876844167956	-0.717944335931779	-0.27894830019351	-0.194572471089872	-0.320925879988475	-0.571155529512687	-0.519808110186154	0.0271854365130721	-0.712267043602146	-0.72087950259823	-0.318098526071949	-0.37629510341498	-0.371534608088216	-0.00575783182209648	-0.416549646228539	-0.301535113579314	-0.815483521247405	-0.851020117876844	-0.269345164915286	0.0747807900923497	-0.76011645161085	-0.839220927876876	-0.323590031656174	-0.315490543019052	-0.447233585255906	-0.426681797844521	-0.130616427473922	0.0364315956555217	-0.361274153726852	-0.447679990965014	-0.489314535500033	-0.306010327386871	-0.400377689060605	-0.311173446842727	-0.364190880746024	-0.31507089721214	-0.398051151095977	-0.379368706266852	-0.412429553396358	-0.786714275901305	-0.341095893772122	-0.363193797332358	-0.467335661320836	0.00908118845550331	-0.425183922748683	-0.409917689786825	-0.492221699044614	-0.511045093652098	-0.355073375483305	-0.280560782987064	-0.312312157840965	-0.409027064281323	0.0475854903110496	-0.441508525209232	0.00784013770555624	-0.361985617666568	-0.279485031597501	-0.784332017122685	-0.41071671917826	-0.7082489469444	-0.746609381430411	-0.472062556188863	0.091280245455922	-0.348502902175324	-0.375403651314867	0.0166172034248	-0.441507377616173	-0.385048638921042	-0.805860094560966	0.0483451347544553	-0.569704475825912	-0.378231502905942	-0.81104833019368	-0.385048638921042	-0.394977233382112	-0.448629564966997	-0.257250652765996	-0.311002234849461	-0.348515139238767	-0.0721497983109658	-0.416549646228539	-0.463293561948783
"9"	"Amazilia_candida"	-1.39120010619802	-1.44159603148374	-1.16605167314839	-1.34291573355959	-1.39808894856254	-1.49707915025205	-1.4727947477855	-1.41940278925419	-1.44356118570171	-1.44233491415827	-1.48320023857123	-1.45629698132473	-1.50370767894633	-1.4823130561815	-1.40671415104625	-1.48888226121325	-1.44716690371463	-1.48102103364538	-1.49229792590421	-1.38676033814463	-1.30384089313	-1.34225660682844	-1.3425361563578	-1.51338041886691	-1.47402946166206	-1.40648735705538	-1.40974187623759	-1.47703693271073	-1.44449654435843	-1.31571081650469	-1.35862390691236	-1.55067311121122	-1.28883920599954	-1.36551995104963	-1.40372073233669	-1.25395009715413	-1.37684558277319	-1.46979390355315	-1.39408356984921	-1.46838343296146	-1.43483040811558	-1.49707915025205	-1.50605811475624	-1.40836777647593	-1.52944969927545	-1.5049294392449	-1.44208165101856	-1.37634858355946	-1.51916342421004	-1.48208542942627	-1.21885681238105	-1.37757570615493	-1.43540620970759	-1.49794152324581	-1.43019206441686	-1.5049294392449	-1.32800418099242	-1.44683027907318	-1.47116300507161	-1.28590249070967	-1.45049933892341	-1.27550926564906	-1.4826907679304	-1.37909536697534	-1.59877533662126	-1.4824485565046	-1.22803681673235	-1.45573547762186	-1.4573904519551	-1.35746531616128	-1.42523293510977	-1.61210357595427	-1.37909536697534	-1.47103305950449	-1.40443281223575	-1.49090438934681	-1.19843732168652	-1.39798760143643	-1.53461467312213	-1.48081334829261	-1.43795417605345	-1.50110502645632	-1.28377022274433	-1.4698992144174	-1.48667674840797	-1.42360899567879	-1.42662525771271	-1.49556685751934	-1.43934397341246	-1.44571851347107	-1.51603243524478	-1.42360899567879	-1.20460292896452	-1.49618305719441	-1.40943083303752	-1.28538566596865	-1.40671415104625	-1.58058516934518	-1.28883920599954	-1.47576385975661
"10"	"Amazilia_castaneiventris"	-0.290940684076725	-0.117060996082013	-0.254371526189674	0.099037772274461	0.0192484740597884	0.190967002675959	-0.10285583608448	-0.169170054561549	0.166174193540607	-0.365729410960509	0.31168387250543	0.0345725590743398	0.213287132040161	-0.359155501852578	0.0983913777991435	0.103383124439135	-0.439127484885507	-0.303112083571956	0.146343427394758	0.199617972225406	-0.0746960789485008	-0.0348969068901102	0.0583239851345836	-0.0229791795633823	0.17596322467808	-0.422124341954327	0.206989875133998	0.256056136398255	0.0565780272279159	0.244586291562285	0.212374861037079	-0.399952290140417	0.0496840860259542	0.0386152331130165	0.329129333959145	0.113035992915027	-0.079745502324932	-0.425210890418848	0.193778130664665	0.156694929768937	0.109886818570301	-0.133281619173649	-0.0591070033890974	0.253590170660439	-0.306360188358183	-0.299433987318281	-0.155044128970695	0.0438008455078306	-0.0791853325914382	0.0258524284945477	0.0467265947031768	-0.0966711069036047	-0.0654802692267097	0.117191240350655	-0.055415803023951	0.0639246671796865	0.368063140055889	0.182763455401532	0.127249140007077	-0.0180454021767833	-0.0496558992419989	-0.314422376007883	0.251925479504531	0.0870839683859773	-0.283063514502823	0.0594312906689138	0.138211286872226	0.0414412398773696	0.210031904607163	0.00704377167042902	-0.295264028037845	-0.303160184560858	-0.15447470812753	-0.0382591689706111	0.083981284018765	0.260273154912286	0.00944195110807119	0.149145102366668	0.264130050269446	-0.101703246948786	-0.347099805383901	0.0176901116134939	0.0994419293780016	-0.295240179295794	0.0384444369409168	0.0205948738044994	0.200852024740419	-0.3788115310558	0.0801204276798967	0.0772241333423771	0.167852162229551	0.0205948738044994	0.0583430419266403	-0.0104089794565232	-0.0980927624775164	-0.000869207036601638	0.0983913777991435	-0.471276091169078	0.0496840860259542	-0.0653614863721128
