"Species"	"crown_Hue_f"	"crown_Bri_f"	"crown_Sat_f"	"gorget_Hue_f"	"gorget_Bri_f"	"gorget_Sat_f"	"belly_Hue_f"	"belly_Bri_f"	"belly_Sat_f"	"mantle_Hue_f"	"mantle_Bri_f"	"mantle_Sat_f"	"rump_Hue_f"	"rump_Bri_f"	"rump_Sat_f"	"crown_Slope_f"	"gorget_Slope_f"	"belly_Slope_f"	"mantle_Slope_f"	"rump_Slope_f"	"mean_span_f"
"1"	"Coeligena_bonapartei"	-3.53381936310755	-0.132419561613934	3.23292097754486	0.00309750080238542	1.3419054659679	1.22343211003744	-1.90583649968452	2.83179426514167	2.85692861070093	0.649445955113201	2.54104947340628	5.07676704323215	0.957625959730487	2.99253562671844	5.71035041052843	1.08459345782905	-0.228911978709964	-3.16494959120822	3.14937782662151	-0.118674823035017	2.85071469815071
"2"	"Coeligena_coeligena"	0.200076038982774	-0.0387348865659216	0.00627246589137769	0.35345506200218	-0.10228526421553	-0.163594357715005	0.0992074034469254	0.00453677876321048	0.00790307117251476	0.249062610788348	0.0376471655887548	0.191358603514022	-0.0627185615899187	-0.0502740451623971	0.0794800695294707	0.0411659436349628	0.107465468849387	0.0215903300430597	-0.0808925995249038	0.0291366577273907	-0.159508048803613
"3"	"Coeligena_helianthea"	3.7390035665748	0.0490464490617033	-3.23365303022025	0.00309750080241858	-1.32856383911898	-1.25529325563297	2.17685265653702	-2.67740910816148	-2.88260345799075	-0.798759735989181	-2.13030925360606	-4.86351329200132	-0.581766626508907	-2.00838619093396	-5.3331531401644	-1.05608604760074	0.248893449858063	3.06959769831008	-3.40931246902068	-0.429609912994612	-2.58202186259359
"4"	"Coeligena_inca"	0.103515928334084	-0.214759676193761	-0.100808948637375	0.100215334937789	-0.527293313968824	0.276530092783201	-0.401848875264922	0.804932271202201	0.741374586025113	-0.0228738068750209	0.122981291122541	0.303512519793565	-0.112849562478565	0.26853826839846	0.124315963821978	0.0710380595040424	0.218713129455046	-0.771061768042043	0.695181937426262	-0.366162006871332	-0.109422462011241
"5"	"Coeligena_iris"	0.0663653433853513	0.173532354175214	0.861036215320833	-0.175500398887883	-0.21193817247727	0.0712627193172222	0.209312509933906	-0.0692576830628677	-0.237126965601767	0.52431849151814	-0.255819257594641	-0.0853656768712185	0.426735375534062	-0.430241459014559	-0.299081919358114	-0.0995421656030367	0.0802296562103733	0.0438660538407274	0.12390230615116	0.406916694215411	0.185125057428073
"6"	"Coeligena_lutetiae"	-0.323183576274708	1.16658489367766	0.666493426438777	0.0158563166292342	-0.105089121712485	-0.3471444811225	-0.0144660397399532	-0.944286631577368	-1.26156250656419	1.35665358255424	-0.168274009070897	-1.59321400826909	-0.469529752120196	-1.90086409369072	-2.6698505426393	-0.414103169500633	-0.131701497712031	0.64308191035648	0.150709112897305	1.07765257388177	-1.60029810493942
"7"	"Coeligena_phalerata"	-0.376601734846803	1.06762521547934	0.787884262973558	0.0828516113047288	-0.0524215429660062	0.0802794712469926	0.283999352908168	-0.296149326192304	-0.328208844914846	0.247739972564986	0.369017202754838	-0.142329486386396	-0.169631945107205	-0.106735393757381	0.131094320339344	-1.14592678698921	0.0855364608128302	0.177147901820348	-0.590215739000881	-0.0415212598122677	0.148458056681555
"8"	"Coeligena_prunellei"	-0.270137527933672	-0.117925754291104	-0.119568396669921	-0.17149815915953	-0.108992487809832	0.0371895987104492	-0.221440356978626	-0.21331715770859	-0.0823985741155374	-0.359863907987424	-0.312276298739846	-0.335649731002963	0.109498669610389	-0.155246194307839	-0.119769800142931	0.05798588628205	-0.0183894595996744	0.135216099790571	0.130120912982024	0.061933955936201	0.0483697920308684
"9"	"Coeligena_torquata"	-0.181357987013476	0.160210732689203	0.180567922462271	-0.0665350882478212	0.567154457308527	-0.344138188350611	0.349703293816587	-0.757855384842976	-0.642844379125308	-0.0439630737541171	-0.137482931934805	-0.1554985833265	0.0465600629437606	-0.304807606287211	-0.0789910129731852	-0.0454673989328068	-0.24425688107458	0.703954877337529	-0.628501223501105	0.36334453027247	0.117604766170357
"10"	"Coeligena_violifer"	0.101474909991417	-0.208037894846125	-0.222069467372383	-0.181558423771212	-0.107347131278186	0.0403113933808515	0.144670165077403	-0.0666281015246887	-0.132008260496514	-0.0941039030916998	0.24205882123207	0.130033218870141	-0.0471919217058229	-0.0213470681287054	0.0904000508010124	0.175075804445827	0.0458386364513603	0.0796853515758865	-0.243521672326618	0.151821679911486	-0.111213097475517
"11"	"Coeligena_wilsoni"	0.176286774671254	0.0640005899594654	-0.142174252307155	-0.309360739968181	0.231998254589992	0.0780639925388912	0.144710065738736	0.0890309607564139	-0.107273265083308	0.26954879951306	0.185512792684098	-0.15995657495949	0.122655552743959	0.0938535247140145	-0.169289369973236	-0.0362453416922189	-0.145022457081842	-0.0842803753207034	0.0113252630628021	-0.0408553112146114	0.0503908142939057
"12"	"Coeligena_orina"	-0.16740983961011	-1.16901325388076	-1.01190652791556	0.0158563166291576	0.124256026602461	0.421134337853377	-0.859697036804481	0.609162727199647	1.4593242833467	-1.06646146282813	-1.0531348623974	0.992094983697329	-0.611824209824269	-0.749713224238744	1.61292205615077	0.594160031075738	0.0500209198532156	-0.428285428280574	0.717515200844254	0.381815216928345	0.78894974216982
